cve_ent,cve_mun,cve_loc,nom_loc
1,0,0,Aguascalientes
1,1,0,Aguascalientes
1,1,1,Aguascalientes
1,1,106,Arellano
1,1,112,Bajío los Vázquez
1,1,120,Buenavista de Peñuelas
1,1,125,Cañada Grande de Cotorina
1,1,126,Cañada Honda [Estación]
1,1,127,Los Caños
1,1,138,Centro de Arriba (El Taray)
1,1,139,Cieneguilla (La Lumbrera)
1,1,146,El Conejal
1,1,171,Los Cuervos (Los Ojos de Agua)
1,1,190,El Duraznillo
1,1,191,Los Durón
1,1,237,Jaltomate
1,1,239,General José María Morelos y Pavón (Cañada Honda)
1,1,265,El Malacate
1,1,272,Matamoros [Congregación]
1,1,291,Los Negritos
1,1,292,El Niágara
1,1,293,Norias de Ojocaliente
1,1,315,Peñuelas (El Cienegal)
1,1,345,El Refugio de Peñuelas
1,1,355,El Salto de los Salado
1,1,357,Norias del Paso Hondo
1,1,366,Ejido San Antonio de los Pedroza
1,1,367,San Antonio de Peñuelas
1,1,379,San Ignacio
1,1,389,San José de la Ordeña
1,1,407,San Nicolás
1,1,410,San Pedro Cieneguilla
1,1,429,Santa María de Gallardo
1,1,444,El Tanque de los Jiménez
1,1,479,Villa Licenciado Jesús Terán (Calvillito)
1,1,648,Norias de Cedazo (Cedazo Norias de Montoro)
1,1,726,Santa Clara
1,1,863,Cotorina (Coyotes)
1,1,903,El Capirote
1,1,1025,Pocitos
1,1,1075,El Relicario
1,1,1115,Santa Teresa
1,1,1178,Granjas Fátima
1,1,1183,Lomas de Nueva York
1,1,2109,Montoro (Rancho de Don Chencho) [Ejido]
1,1,2499,El Trigo
1,1,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,1,9999,Localidad no especificada
1,2,0,Asientos
1,2,1,Asientos
1,2,3,Licenciado Adolfo López Mateos
1,2,4,Plutarco Elías Calles
1,2,5,Amarillas de Esparza
1,2,7,Bimbaletes Aguascalientes (El Álamo)
1,2,8,Bimbaletes Atlas (Tanque de la Vieja)
1,2,9,Emancipación (Borunda) [Colonia]
1,2,10,Caldera
1,2,11,Ciénega Grande
1,2,12,Clavellinas
1,2,14,Crisóstomos
1,2,15,Charco Azul
1,2,17,La Dichosa
1,2,19,La Esperanza
1,2,20,El Epazote
1,2,21,Las Fraguas
1,2,22,Francisco Villa
1,2,23,La Gloria
1,2,24,Gorriones
1,2,25,Guadalupe de Atlas
1,2,27,Jarillas
1,2,28,Jilotepec
1,2,30,Lázaro Cárdenas
1,2,33,Molinos
1,2,34,Las Negritas
1,2,35,Noria del Borrego (Norias)
1,2,36,Ojo de Agua de Rosales
1,2,37,Ojo de Agua de los Sauces
1,2,39,Pilotos
1,2,40,Pino Suárez (Rancho Viejo)
1,2,41,El Polvo
1,2,45,El Salitre
1,2,46,San Antonio de los Martínez
1,2,47,San Gil
1,2,48,San José del Río
1,2,51,San Rafael de Ocampo
1,2,53,Tanque de Guadalupe
1,2,54,Tanque Viejo
1,2,55,El Tepetatillo [Rancho]
1,2,56,La Tinajuela
1,2,58,El Tule
1,2,59,Villa Juárez
1,2,60,Viudas de Poniente
1,2,243,San Vicente
1,2,7777,Cifra confidencial. Establecido en la Ley del SNIEG.
1,2,9999,Localidad no especificada
1,3,0,Calvillo
1,3,1,Calvillo
1,3,4,Las Ánimas
1,3,8,Barranca del Roble
1,3,20,Colomos
1,3,21,El Cuervero (Cuerveros)
